,object_id,creation_time,creation_source,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id,adopted,creation_year,creation_month,creation_week,creation_day,invited_by_user
0,1,2014-04-22 03:53:30,GUEST_INVITE,1,0,11,10803.0,0,2014,4,17,22,1
1,2,2013-11-15 03:45:04,ORG_INVITE,0,0,1,316.0,1,2013,11,46,15,1
2,3,2013-03-19 23:14:52,ORG_INVITE,0,0,94,1525.0,0,2013,3,12,19,1
3,4,2013-05-21 08:09:28,GUEST_INVITE,0,0,1,5151.0,0,2013,5,21,21,1
4,5,2013-01-17 10:14:20,GUEST_INVITE,0,0,193,5240.0,0,2013,1,3,17,1
5,6,2013-12-17 03:37:06,GUEST_INVITE,0,0,197,11241.0,0,2013,12,51,17,1
6,7,2012-12-16 13:24:32,SIGNUP,0,1,37,0.0,0,2012,12,50,16,0
7,8,2013-07-31 05:34:02,PERSONAL_PROJECTS,1,1,74,0.0,0,2013,7,31,31,0
8,9,2013-11-05 04:04:24,PERSONAL_PROJECTS,0,0,302,0.0,0,2013,11,45,5,0
9,10,2013-01-16 22:08:03,ORG_INVITE,1,1,318,4143.0,1,2013,1,3,16,1
10,11,2013-12-26 03:55:54,SIGNUP,0,0,69,0.0,0,2013,12,52,26,0
11,12,2014-04-17 23:48:38,ORG_INVITE,0,0,130,9270.0,0,2014,4,16,17,1
12,13,2014-03-30 16:19:38,ORG_INVITE,0,0,254,11204.0,0,2014,3,13,30,1
13,14,2012-10-11 16:14:33,SIGNUP,0,0,0,0.0,0,2012,10,41,11,0
14,15,2013-07-16 21:33:54,PERSONAL_PROJECTS,0,0,175,0.0,0,2013,7,29,16,0
15,16,2013-02-11 10:09:50,PERSONAL_PROJECTS,0,0,211,0.0,0,2013,2,7,11,0
16,17,2014-04-09 14:39:38,GUEST_INVITE,1,0,175,1600.0,0,2014,4,15,9,1
17,18,2013-08-24 00:26:46,GUEST_INVITE,0,0,2,3153.0,0,2013,8,34,24,1
18,19,2013-05-24 14:56:36,SIGNUP,1,0,0,0.0,0,2013,5,21,24,0
19,20,2014-03-06 11:46:38,SIGNUP,0,0,58,0.0,1,2014,3,10,6,0
20,21,2013-01-22 12:27:42,PERSONAL_PROJECTS,0,0,54,0.0,0,2013,1,4,22,0
21,22,2014-02-10 06:00:46,ORG_INVITE,0,0,7,2994.0,0,2014,2,7,10,1
22,23,2012-08-17 08:30:27,ORG_INVITE,1,0,6,23.0,0,2012,8,33,17,1
23,24,2013-09-09 22:20:03,SIGNUP,1,0,123,0.0,0,2013,9,37,9,0
24,25,2014-02-25 00:11:13,GUEST_INVITE,1,0,81,6312.0,0,2014,2,9,25,1
25,26,2013-07-28 00:53:32,ORG_INVITE,0,0,56,11857.0,0,2013,7,30,28,1
26,27,2014-01-14 17:35:11,ORG_INVITE,0,0,134,4189.0,0,2014,1,3,14,1
27,28,2013-02-11 20:00:25,SIGNUP,0,0,6,0.0,0,2013,2,7,11,0
28,29,2013-09-16 02:08:41,SIGNUP,0,0,92,0.0,0,2013,9,38,16,0
29,30,2013-06-04 00:44:25,GUEST_INVITE,0,0,251,4835.0,0,2013,6,23,4,1
30,31,2014-01-23 05:21:42,SIGNUP,0,0,283,0.0,0,2014,1,4,23,0
31,32,2013-04-17 16:21:30,PERSONAL_PROJECTS,1,1,98,0.0,0,2013,4,16,17,0
32,33,2014-03-11 06:29:09,GUEST_INVITE,0,0,401,79.0,1,2014,3,11,11,1
33,34,2014-02-03 20:55:18,ORG_INVITE,0,0,33,3721.0,0,2014,2,6,3,1
34,35,2013-08-01 10:55:26,PERSONAL_PROJECTS,0,0,59,0.0,0,2013,8,31,1,0
35,36,2013-08-06 09:08:15,GUEST_INVITE,1,0,109,6805.0,0,2013,8,32,6,1
36,37,2012-09-25 14:37:23,SIGNUP,0,0,276,0.0,0,2012,9,39,25,0
37,38,2014-05-25 06:59:56,PERSONAL_PROJECTS,0,0,208,0.0,0,2014,5,21,25,0
38,39,2013-09-10 23:09:40,ORG_INVITE,1,0,332,3335.0,0,2013,9,37,10,1
39,40,2014-05-26 10:29:03,GUEST_INVITE,0,0,2,5377.0,0,2014,5,22,26,1
40,41,2014-04-30 23:38:17,ORG_INVITE,0,0,64,9286.0,0,2014,4,18,30,1
41,42,2012-11-11 19:05:07,SIGNUP,1,0,235,0.0,1,2012,11,45,11,0
42,43,2012-12-31 07:13:17,GUEST_INVITE,0,0,63,149.0,1,2012,12,1,31,1
43,44,2014-05-28 16:43:12,SIGNUP,0,0,14,0.0,0,2014,5,22,28,0
44,45,2014-04-29 21:55:19,SIGNUP_GOOGLE_AUTH,1,0,4,0.0,0,2014,4,18,29,0
45,46,2014-01-01 18:42:08,ORG_INVITE,0,0,127,2125.0,0,2014,1,1,1,1
46,47,2012-06-07 13:23:02,ORG_INVITE,1,1,32,11800.0,0,2012,6,23,7,1
47,48,2013-11-03 14:37:00,ORG_INVITE,0,0,224,526.0,0,2013,11,44,3,1
48,49,2013-10-13 10:06:52,SIGNUP,0,0,304,0.0,0,2013,10,41,13,0
